length;mse;model
4;99620476.50518931;(((-0.7234944701) * X2) + ((0.8501954675 * X1) ^ 2))
3;inf;exp(((0.4402498007 * X1) ^ 2))
2;14.422135274029596;exp(((-0.1155430451) * X2))
9;inf;((exp((0.1514078081 * X1)) + ((-0.0592573509) * X2)) + (((0.8492302299 * X1) ^ 2) + ((-0.6898831129) * X2)))
1;4.357523538115527;4.3562927246
8;98346483.38309634;(((0.1497063190 * X1) + ((-0.0592573509) * X2)) + (((0.8473305702 * X1) ^ 2) + ((-0.6776304245) * X2)))
7;inf;((((-0.7489578724) * X2) + (((-0.8467670083) * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;97988773.2972558;((((0.8465587497 * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1497063190 * X1))
4;101523438.23180948;(((-0.7515706420) * X2) + ((0.8542266488 * X1) ^ 2))
3;inf;exp((((-0.4410636723) * X1) ^ 2))
2;14.744129267116744;exp(((-0.0550368242) * X2))
9;inf;((exp((0.1514078081 * X1)) + ((-0.0592573509) * X2)) + (((0.8495633602 * X1) ^ 2) + ((-0.6898831129) * X2)))
1;7.529469728561899;2.4784591198
8;99387620.74687073;(((0.1514078081 * X1) + ((-0.0592573509) * X2)) + (((0.8495633602 * X1) ^ 2) + ((-0.6776304245) * X2)))
7;inf;((((-0.7489578724) * X2) + ((0.8473305702 * X1) ^ 2)) + exp((0.1514078081 * X1)))
6;98181401.84955582;((((0.8469730616 * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1514078081 * X1))
4;98284439.11339502;(((-0.7398599982) * X2) + ((0.8473305702 * X1) ^ 2))
3;inf;exp((((-0.4410938621) * X1) ^ 2))
2;14.746353629352676;exp(((-0.0545784682) * X2))
9;inf;((exp((0.1497063190 * X1)) + ((-0.0592573509) * X2)) + (((-0.6805386543) * X2) + ((0.8438318372 * X1) ^ 2)))
1;5.4730011232175055;3.2015850544
8;98180677.25151376;(((0.1497063190 * X1) + ((-0.0509501994) * X2)) + (((-0.6805386543) * X2) + ((0.8469730616 * X1) ^ 2)))
7;inf;((((-0.7489578724) * X2) + ((0.8472660184 * X1) ^ 2)) + exp((0.1514078081 * X1)))
6;96502407.63995221;((((-0.7234944701) * X2) + ((0.8433291316 * X1) ^ 2)) + (0.1497063190 * X1))
4;98254540.99401604;(((-0.7398599982) * X2) + ((0.8472660184 * X1) ^ 2))
3;inf;exp(((0.4420463741 * X1) ^ 2))
2;14.74997457527392;exp(((-0.0538309216) * X2))
9;inf;((exp((0.1497063190 * X1)) + ((-0.0592573509) * X2)) + (((-0.6805386543) * X2) + ((0.8436821103 * X1) ^ 2)))
1;5.291556754918399;3.2909042835
9;inf;((exp((0.1497063190 * X1)) + ((-0.0592573509) * X2)) + (((-0.6805386543) * X2) + ((0.8434983492 * X1) ^ 2)))
8;98316575.82756184;(((0.1497063190 * X1) + ((-0.0592573509) * X2)) + (((0.8472660184 * X1) ^ 2) + ((-0.6776304245) * X2)))
7;inf;((((-0.7489578724) * X2) + ((0.8465794325 * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;96579852.27132563;((((-0.7234944701) * X2) + ((0.8434983492 * X1) ^ 2)) + (0.1497063190 * X1))
4;99588127.36257778;(((0.8501264453 * X1) ^ 2) + ((-0.7450659275) * X2))
2;14.753332462469091;exp(((-0.0531361215) * X2))
3;inf;exp((((-0.4428560138) * X1) ^ 2))
10;inf;((exp(exp((0.0497229695 * X1))) + ((-0.3873312175) + ((-0.6746125817) * X2))) + ((0.8096902370 * X1) ^ 2))
1;6.179652017100396;2.9087967873
9;inf;((exp((0.1514078081 * X1)) + ((-0.0592573509) * X2)) + (((0.8501264453 * X1) ^ 2) + ((-0.6898831129) * X2)))
8;96732657.58092768;(((0.1497063190 * X1) + ((-0.0492403135) * X2)) + (((-0.6805386543) * X2) + ((0.8438318372 * X1) ^ 2)))
7;inf;((((-0.7489578724) * X2) + ((0.8465587497 * X1) ^ 2)) + exp((0.1497063190 * X1)))
6;98085915.4042738;(((((-0.8467670083) * X1) ^ 2) + ((-0.7379882336) * X2)) + (0.1514078081 * X1))
4;98118704.8927443;(((-0.7398599982) * X2) + ((0.8469730616 * X1) ^ 2))
2;14.757341092877674;exp(((-0.0523046888) * X2))
3;inf;exp(((0.4458853006 * X1) ^ 2))
10;1.915192669739825e+31;((0.7897376418 ^ ((-3.5850200653) + ((-0.2476030886) * X1))) + ((((-0.8112591505) * X1) ^ 2) + ((-0.6746587157) * X2)))
1;6.27287555673196;5.6491260529
9;inf;((exp((0.1497063190 * X1)) + ((-0.0492403135) * X2)) + (((0.8438318372 * X1) ^ 2) + ((-0.6898830533) * X2)))
8;96502407.64088517;(((0.1497063190 * X1) + ((-0.0492403135) * X2)) + (((0.8433291316 * X1) ^ 2) + ((-0.6776304245) * X2)))
7;inf;((((-0.7489578724) * X2) + ((0.8469730616 * X1) ^ 2)) + exp((0.1514078081 * X1)))
6;98346483.384155;((((-0.7398599982) * X2) + ((0.8473305702 * X1) ^ 2)) + (0.1497063190 * X1))
4;98091474.56386541;(((-0.7398599982) * X2) + ((0.8469142914 * X1) ^ 2))
2;14.761892637257287;exp(((-0.0513580181) * X2))
3;inf;exp(((0.4488153160 * X1) ^ 2))
10;1.915192669739825e+31;((0.7897376418 ^ ((-3.5850200653) + ((-0.2476030886) * X1))) + ((((-0.8099093437) * X1) ^ 2) + ((-0.6776304245) * X2)))
1;7.157460863406402;5.9379105568
9;inf;((exp((0.1514078081 * X1)) + ((-0.0592573509) * X2)) + (((0.8501954675 * X1) ^ 2) + ((-0.6898831129) * X2)))
8;99231865.5513934;(((0.1514078081 * X1) + ((-0.0592573509) * X2)) + (((-0.6805386543) * X2) + ((0.8492302299 * X1) ^ 2)))
7;inf;((((-0.7489578724) * X2) + ((0.8469142914 * X1) ^ 2)) + exp((0.1514078081 * X1)))
6;101586496.40025617;((((-0.7515706420) * X2) + ((0.8542266488 * X1) ^ 2)) + (0.1497063190 * X1))
4;98023248.94773531;(((-0.7398599982) * X2) + (((-0.8467670083) * X1) ^ 2))
2;14.763849248531768;exp(((-0.0509501994) * X2))
3;inf;exp((((-0.4508932233) * X1) ^ 2))
10;inf;((exp(exp((0.0497229695 * X1))) + ((-0.3873312175) + ((-0.6746125817) * X2))) + (((-0.8097302318) * X1) ^ 2))
1;4.728454091051549;3.6456477642
8;96664031.81204411;(((0.1497063190 * X1) + ((-0.0492403135) * X2)) + (((0.8436821103 * X1) ^ 2) + ((-0.6776304245) * X2)))
7;inf;((((-0.7489578724) * X2) + (((-0.8467670083) * X1) ^ 2)) + exp((0.1514078081 * X1)))
6;96664031.81111115;((((-0.7234944701) * X2) + ((0.8436821103 * X1) ^ 2)) + (0.1497063190 * X1))
4;97936406.21968655;(((-0.7398599982) * X2) + ((0.8465794325 * X1) ^ 2))
3;inf;exp(((0.4549968839 * X1) ^ 2))
2;14.767659870097392;exp(((-0.0501544401) * X2))
9;inf;((exp((0.1497063190 * X1)) + ((-0.0592573509) * X2)) + (((-0.6805386543) * X2) + ((0.8433291316 * X1) ^ 2)))
1;5.924659077174041;5.5173544884
8;99231156.77802446;(((0.1497063190 * X1) + ((-0.0509501994) * X2)) + (((0.8492302299 * X1) ^ 2) + ((-0.6898831129) * X2)))
7;inf;((((-0.7398599982) * X2) + ((0.8438318372 * X1) ^ 2)) + exp((0.1514078081 * X1)))
