length;mse;model
17;nan;(7.2365269661 + ((((exp((0.9521970153 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0165552683 * X1)) + (2.7849390507 * X1)) * (exp((0.1356069744 * X2)) + ((-0.3664472103) * X2))))
15;inf;(((exp(((-0.2405882031) * X2)) + (((-0.0332634524) * X1) * ((exp(((-0.2154869139) * X2)) + ((-0.0393074155) * X2)) * (0.5921862125 * X1)))) + ((-0.0149834342) * X2)) * (2.8386511803 * X1))
5;2.036272226440725e+69;(((-0.0251936838) * X1) * (0.7292486429 ^ (0.8685116768 * X2)))
14;nan;((0.2933468819 * X1) + ((((((-0.0589013658) * X1) * (0.7282894254 * X1)) * (1.3827095032 * X1)) + (2.6010987759 * X1)) * (exp(((-0.2787703276) * X2)) + ((-0.0220252238) * X2))))
20;nan;(7.2392506599 + ((((exp((0.9457321763 * X2)) + ((((-12.5368576050) * X1) + exp((0.3392356038 * X2))) * (0.2539889812 * X1))) * (0.0174621139 * X1)) + (2.7858333588 * X1)) * (exp((0.1359701604 * X2)) + ((-0.3675909638) * X2))))
1;8.583704961696517;7.6334218979
12;inf;(((2.8292748928 * X1) * exp(((-0.3790599406) * X2))) * ((((-0.0300624706) * X1) * (0.7341285944 * X1)) + (1.0307340622 + (0.0958823487 * X2))))
18;nan;((((exp((0.9538245797 * X2)) + ((((-8.0582866669) * X1) + exp((0.1357906014 * X2))) * (0.4171480238 * X1))) * (0.0165226385 * X1)) + (2.7860922813 * X1)) * (exp((0.1356204748 * X2)) + ((-0.3667160869) * X2)))
9;inf;(exp((((-0.0233585816) * X1) * (1.0505617857 * X1))) * ((2.9214611053 * X1) * exp(((-0.2703327835) * X2))))
8;nan;(log(abs(log(abs(((-0.0254548825) * X1))))) * ((0.0087775951 * X1) * exp(((-0.2827813327) * X2))))
10;inf;(exp((((-0.0233585816) * X1) * (1.0505617857 * X1))) * ((2.0453295708 * X1) * (1.6349517107 ^ ((-0.5607457757) * X2))))
11;inf;((exp((0.0767030045 * X2)) + (((-0.0302257463) * X1) * (0.7010098696 * X1))) * ((2.9174599648 * X1) * exp(((-0.3738808334) * X2))))
5;inf;((2.1433932781 * X1) * (1.1256440878 ^ ((-2.3221652508) * X2)))
4;inf;((2.0463860035 * X1) * exp(((-0.2703327835) * X2)))
3;28.924615876540145;exp(exp(((-0.0003984161) * X1)))
2;47.40668014927579;exp(((-0.0003984161) * X1))
15;nan;((0.0087775951 * X1) * ((exp(((-0.2405882031) * X2)) + (((-0.0332634524) * X1) * ((exp(((-0.2141011804) * X2)) + ((-0.0393074155) * X2)) * (0.5921862125 * X1)))) + ((-0.0149834342) * X2)))
7;nan;(((-0.9942941070) * X1) * (log(abs(((-0.0307196695) * X1))) * exp(((-0.2817152739) * X2))))
17;nan;(7.2365269661 + ((((exp((0.9545415640 * X2)) + (((-1.2584221363) * X1) * (2.6666164398 * X1))) * (0.0164508503 * X1)) + (2.7862999439 * X1)) * (exp((0.1356069744 * X2)) + ((-0.3664472103) * X2))))
16;inf;((1.8679370880 * X1) * ((exp(((-0.2406024784) * X2)) + (((-0.0332645290) * X1) * (((1.7933894396 ^ ((-0.3690037429) * X2)) + ((-0.0392919555) * X2)) * (0.5921862125 * X1)))) + ((-0.0149799511) * X2)))
